Year,County,Offense Type,Number of Arrests
2017,Clear Creek,MJPossession,1
2017,Crowley,MJPossession,2
2017,Crowley,MJSales,1
2017,Custer,MJPossession,1
2017,Custer,MJUnknown,1
2017,Delta,MJPossession,15
2017,Delta,MJUnknown,6
2017,Denver,MJPossession,115
2017,Denver,MJProduction,54
2017,Denver,MJSales,98
2017,Dolores,MJSales,1
2017,Dolores,MJUnknown,3
2017,Douglas,MJPossession,381
2017,Douglas,MJProduction,9
2017,Douglas,MJSales,1
2017,Douglas,MJUnknown,10
2017,Eagle,MJPossession,83
2017,Eagle,MJSales,1
2017,Eagle,MJUnknown,6
2017,El Paso,MJPossession,411
2017,El Paso,MJProduction,7
2017,El Paso,MJSales,29
2017,El Paso,MJUnknown,22
2017,Elbert,MJPossession,10
2017,Elbert,MJProduction,1
2017,Elbert,MJSales,2
2017,Fremont,MJProduction,1
2017,Fremont,MJUnknown,23
2017,Garfield,MJPossession,94
2017,Garfield,MJUnknown,33
2017,Gilpin,MJPossession,5
2017,Gilpin,MJUnknown,1
2017,Gunnison,MJPossession,31
2017,Gunnison,MJProduction,1
2017,Gunnison,MJSales,4
2017,Gunnison,MJUnknown,8
2017,Huerfano,MJProduction,1
2017,Jefferson,MJPossession,837
2017,Jefferson,MJProduction,8
2017,Jefferson,MJSales,8
2017,Jefferson,MJUnknown,34
2017,Kit Carson,MJPossession,11
2017,Kit Carson,MJProduction,3
2017,Kit Carson,MJSales,1
2017,La Plata,MJPossession,41
2017,La Plata,MJUnknown,39
2017,Lake,MJPossession,1
2017,Larimer,MJPossession,378
2017,Larimer,MJProduction,13
2017,Larimer,MJSales,8
2017,Larimer,MJUnknown,71
2017,Las Animas,MJPossession,4
2017,Lincoln,MJProduction,7
2017,Location not Available,MJPossession,239
2017,Location not Available,MJProduction,1
2017,Location not Available,MJSales,9
2017,Location not Available,MJUnknown,31
2017,Logan,MJPossession,9
2017,Logan,MJProduction,1
2017,Logan,MJUnknown,1
2017,Mesa,MJPossession,257
2017,Mesa,MJProduction,11
2017,Mesa,MJSales,42
2017,Mesa,MJUnknown,136
2017,Moffat,MJPossession,29
2017,Moffat,MJSales,1
2017,Montezuma,MJPossession,7
2017,Montezuma,MJSales,1
2017,Montrose,MJPossession,28
2017,Morgan,MJPossession,22
2017,Morgan,MJSales,1
2017,Oak Creek PD,MJPossession,1
2017,Otero,MJPossession,6
